,state,county,total_population,total_female,total_male,total_one_race_white,percent_female,percent_white,latitude,longitude,num_households,dollar_household_median_income,numGooglePlaces,avgStarRating,closestClinic_mi,avgNumReviews,poli_align
138,Colorado,Logan,21765,9648,12117,18250,0.4432804962095106,0.8385021824029405,40.728091,-103.090464,7928,50998.0,3.0,0.0,113.09,0.0,democrat
139,Colorado,Mesa,154685,77868,76817,138360,0.5033972266218444,0.894462940815205,39.019492,-108.461837,61977,62127.0,3.0,0.0,85.13,0.0,democrat
140,Colorado,Mineral,794,416,378,728,0.5239294710327456,0.9168765743073048,37.651478,-106.9323,386,55556.0,3.0,3.37,186.41,48.33,democrat
141,Colorado,Moffat,13240,6530,6710,11500,0.493202416918429,0.8685800604229608,40.573984,-108.204521,5121,58583.0,3.0,0.0,115.58,0.0,democrat
142,Colorado,Montezuma,25916,12961,12955,20520,0.5001157586047229,0.7917888563049853,37.338025,-108.595786,10461,58335.0,0.0,,,,democrat
143,Colorado,Montrose,42328,21135,21193,37249,0.4993148743148743,0.880008505008505,38.413427,-108.263042,16840,57225.0,3.0,3.63,130.49,13.67,democrat
144,Colorado,Morgan,28868,13980,14888,21591,0.4842732437300817,0.7479215740612443,40.262354,-103.807092,10601,62914.0,3.0,3.33,55.18,43.67,democrat
145,Colorado,Otero,18665,9545,9120,15123,0.5113849450843825,0.8102330565229038,37.88417,-103.72126,7618,45826.0,3.0,3.23,110.6,83.67,democrat
146,Colorado,Ouray,4850,2405,2445,4494,0.4958762886597938,0.92659793814433,38.1506,-107.767133,2204,67228.0,3.0,3.37,108.12,48.33,democrat
147,Colorado,Park,17384,8215,9169,16128,0.4725609756097561,0.9277496548550392,39.118914,-105.717648,7169,77775.0,3.0,0.0,65.24,0.0,democrat
148,Colorado,Phillips,4497,2212,2285,3862,0.4918834778741383,0.8587947520569268,40.594712,-102.345105,1715,50951.0,3.0,3.33,145.4,43.67,democrat
149,Colorado,Pitkin,17471,8133,9338,15369,0.4655142808081964,0.8796863373590521,39.217533,-106.915943,7202,92708.0,3.0,3.87,6.52,8.67,democrat
150,Colorado,Prowers,11966,5871,6095,9808,0.490640147083403,0.8196556911248537,37.958181,-102.392161,4421,44984.0,3.0,3.17,186.41,79.33,democrat
151,Colorado,Pueblo,167453,84600,82853,131458,0.5052163890763378,0.7850441616453572,38.170658,-104.489893,66442,53430.0,3.0,0.0,58.35,0.0,democrat
152,Colorado,Rio Blanco,6495,3154,3341,5705,0.485604311008468,0.8783679753656659,39.972606,-108.200685,2488,58239.0,3.0,0.0,72.7,0.0,democrat
153,Colorado,Rio Grande,11476,5413,6063,8957,0.4716800278842802,0.7804984315092367,37.485763,-106.453214,4616,50287.0,3.0,2.93,187.65,51.67,democrat
154,Colorado,Routt,24899,11927,12972,22266,0.4790152214948391,0.8942527812361942,40.48316,-106.985289,10094,83725.0,3.0,0.0,125.52,0.0,democrat
155,Colorado,Saguache,6369,3146,3223,5436,0.4939550949913644,0.8535091851154027,38.033952,-106.246675,2877,48413.0,3.0,3.43,165.28,88.33,democrat
156,Colorado,San Juan,698,321,377,648,0.4598853868194842,0.9283667621776504,37.781075,-107.670257,326,63333.0,3.0,3.37,90.72,48.33,democrat
157,Colorado,San Miguel,8084,3699,4385,7535,0.4575705096486888,0.932088075210292,38.009374,-108.427326,3594,70965.0,3.0,0.0,89.48,0.0,democrat
158,Colorado,Sedgwick,2459,1160,1299,2110,0.4717364782431882,0.8580723871492476,40.871568,-102.355358,1020,44405.0,3.0,3.6,152.24,52.67,democrat
159,Colorado,Summit,31042,14256,16786,27193,0.4592487597448618,0.8760067005991882,39.621023,-106.137555,11329,93505.0,3.0,0.0,82.64,0.0,democrat
160,Colorado,Teller,24607,12090,12517,22375,0.4913236071036697,0.909294103303938,38.871994,-105.182552,10557,68677.0,0.0,,,,democrat
161,Colorado,Washington,4834,2261,2573,4501,0.4677285891601158,0.9311129499379396,39.965413,-103.209605,2001,54141.0,3.0,3.47,107.5,63.67,democrat
162,Colorado,Weld,322424,158768,163656,267860,0.4924199191127211,0.8307694216311441,40.555794,-104.383649,111222,80843.0,3.0,0.0,24.98,0.0,democrat
163,Colorado,Yuma,9944,4885,5059,8593,0.4912510056315366,0.8641391794046661,40.000631,-102.422649,3884,56327.0,3.0,3.47,172.74,86.0,democrat
164,Connecticut,Fairfield,956446,487998,468448,650345,0.5102201274300902,0.6799599768308927,41.228103,-73.366757,349443,101194.0,3.0,0.0,15.16,0.0,democrat
165,Connecticut,Hartford,898636,459671,438965,599498,0.5115207937362848,0.6671199462296191,41.806053,-72.732916,356529,80320.0,3.0,0.0,1.43,0.0,democrat
166,Connecticut,Litchfield,185175,92805,92370,167417,0.501174564601053,0.9041015255839072,41.791897,-73.235428,74857,84797.0,3.0,0.0,11.31,0.0,democrat
167,Connecticut,Middlesex,164568,83663,80905,140541,0.5083795148510039,0.8539995624908853,41.434525,-72.524227,68200,90833.0,3.0,0.0,26.97,0.0,democrat
