,state,county,total_population,total_female,total_male,total_one_race_white,percent_female,percent_white,latitude,longitude,num_households,dollar_household_median_income
158,Colorado,Sedgwick,2459,1160,1299,2110,0.47173647824318826,0.8580723871492476,40.871568,-102.355358,1020,44405
159,Colorado,Summit,31042,14256,16786,27193,0.4592487597448618,0.8760067005991882,39.621023,-106.137555,11329,93505
160,Colorado,Teller,24607,12090,12517,22375,0.4913236071036697,0.9092941033039379,38.871994,-105.182552,10557,68677
161,Colorado,Washington,4834,2261,2573,4501,0.46772858916011584,0.9311129499379396,39.965413,-103.209605,2001,54141
162,Colorado,Weld,322424,158768,163656,267860,0.49241991911272115,0.8307694216311441,40.555794,-104.383649,111222,80843
163,Colorado,Yuma,9944,4885,5059,8593,0.4912510056315366,0.8641391794046661,40.000631,-102.422649,3884,56327
164,Connecticut,Fairfield,956446,487998,468448,650345,0.5102201274300902,0.6799599768308927,41.228103,-73.366757,349443,101194
165,Connecticut,Hartford,898636,459671,438965,599498,0.5115207937362848,0.6671199462296191,41.806053,-72.732916,356529,80320
166,Connecticut,Litchfield,185175,92805,92370,167417,0.501174564601053,0.9041015255839071,41.791897,-73.235428,74857,84797
167,Connecticut,Middlesex,164568,83663,80905,140541,0.5083795148510039,0.8539995624908853,41.434525,-72.524227,68200,90833
168,Connecticut,New Haven,864751,445841,418910,597439,0.5155715344648344,0.6908798023939839,41.349717,-72.900204,336400,75043
169,Connecticut,New London,269131,133617,135514,211182,0.4964756939928882,0.7846810660979225,41.47863,-72.103452,109481,79040
170,Connecticut,Tolland,150120,74445,75675,128545,0.49590327737809753,0.8562816413535838,41.858076,-72.340977,56989,88525
171,Connecticut,Windham,116503,58430,58073,100917,0.5015321493867111,0.8662180373037605,41.824999,-71.990702,45425,71418
172,Delaware,Kent,180078,92943,87135,114515,0.5161263452503915,0.6359188795966192,39.097088,-75.502982,66720,63715
173,Delaware,New Castle,567769,291400,276369,345223,0.5132368974001751,0.6080342533671265,39.575915,-75.644132,218002,78428
174,Delaware,Sussex,234045,120330,113715,185671,0.5141318977119784,0.7933132517250956,38.677511,-75.335495,96375,68886
175,Florida,Alachua,276171,142725,133446,181316,0.516799374300705,0.6565352625728262,29.67574,-82.357221,105003,53314
176,Florida,Baker,28003,13025,14978,22150,0.465128736206835,0.7909866799985715,30.324442,-82.302284,8532,63860
177,Florida,Bay,181384,90835,90549,143397,0.5007883826577868,0.7905713844661051,30.237563,-85.631348,72881,60473
178,Florida,Bradford,27928,12316,15612,21143,0.44099112002291607,0.757053852764251,29.946934,-82.166796,8967,48803
179,Florida,Brevard,601573,305711,295862,474112,0.5081860389345931,0.7881204774815359,28.298276,-80.700384,242657,63632
180,Florida,Broward,1934551,986359,948192,1015505,0.5098645628882361,0.5249305911294145,26.19352,-80.476658,732464,64522
181,Florida,Calhoun,13863,6199,7664,10772,0.44716150905287455,0.7770323883719252,30.388801,-85.197916,4495,38098
182,Florida,Charlotte,184837,94156,90681,160844,0.509400174207545,0.870193738266689,26.868826,-81.940858,82755,57887
183,Florida,Citrus,151888,77667,74221,138116,0.5113438849678711,0.9093279258400927,28.843628,-82.524796,65843,48664
184,Florida,Clay,216308,109315,106993,162749,0.5053673465613847,0.7523947334356565,29.987116,-81.858147,77434,74059
185,Florida,Collier,372797,188254,184543,296596,0.5049772396237094,0.7955965310879648,26.118713,-81.400884,153711,75543
186,Florida,Columbia,69265,33188,36077,51038,0.47914531148487693,0.7368512235616834,30.221305,-82.623127,25728,47750
187,Florida,DeSoto,34027,14747,19280,26706,0.43339113057278045,0.7848473271225791,27.190581,-81.806253,12207,39945
188,Florida,Dixie,16701,7309,9392,14295,0.43763846476258905,0.8559367702532783,29.580899,-83.195666,6071,44287
189,Florida,Duval,983153,504380,478773,551519,0.5130228967414024,0.5609696557911129,30.335245,-81.648113,387008,59541
190,Florida,Escambia,318828,160620,158208,210693,0.5037826037863675,0.6608359366178629,30.611664,-87.33904,124494,56605
191,Florida,Flagler,113888,59061,54827,90103,0.5185884377634167,0.7911544675470638,29.474894,-81.286362,45491,62305
192,Florida,Franklin,12232,5315,6917,9700,0.4345160235448005,0.7930019620667103,29.810176,-84.799174,4559,52679
193,Florida,Gadsden,44233,23264,20969,16446,0.5259421698731717,0.37180385684895895,30.57917,-84.612783,15769,42661
194,Florida,Gilchrist,17759,8502,9257,15823,0.4787431724759277,0.8909848527507179,29.723456,-82.795801,6659,50983
195,Florida,Glades,12183,5450,6733,9070,0.44734466059262906,0.7444800131330542,26.95481,-81.19082,4572,38088
196,Florida,Gulf,15205,6457,8748,12229,0.4246629398224268,0.8042749095692207,29.907257,-85.256537,5519,53812
197,Florida,Hamilton,13973,5683,8290,8344,0.40671294639662203,0.597151649609962,30.491102,-82.951049,4208,39346
198,Florida,Hardee,25632,11870,13762,18865,0.46309300873907616,0.7359940699126092,27.492846,-81.82158,8032,41395
199,Florida,Hendry,39439,18482,20957,26718,0.4686224295747864,0.6774512538350363,26.53934,-81.151584,12821,38843
200,Florida,Hernando,192128,98947,93181,160241,0.5150056212524984,0.8340325199866756,28.567911,-82.464835,78041,53301
201,Florida,Highlands,101174,51591,49583,78750,0.5099234981319312,0.7783620297704944,27.342627,-81.340921,43977,46895
202,Florida,Hillsborough,1444359,734001,710358,915469,0.5081845995351572,0.6338237238802819,27.90659,-82.349568,547578,64164
203,Florida,Holmes,19622,8928,10694,17152,0.45499949036795434,0.8741208847212313,30.866222,-85.812959,6995,41809
204,Florida,Indian River,158002,81321,76681,129185,0.5146833584385008,0.8176162327059151,27.700638,-80.574803,63377,61594
205,Florida,Jackson,48067,21631,26436,32413,0.45001768364990535,0.6743295816256475,30.787812,-85.210374,16859,43416
206,Florida,Jefferson,14405,6781,7624,9081,0.47073932662270046,0.6304061089899341,30.424558,-83.890859,5394,53080
207,Florida,Lafayette,8343,3195,5148,6441,0.38295577130528585,0.7720244516361021,29.990066,-83.17851,2486,56458
208,Florida,Lake,375059,192407,182652,289693,0.513004620606358,0.7723931434787593,28.764113,-81.712282,149455,60013
209,Florida,Lee,752251,381880,370371,586690,0.5076497073450218,0.7799125557825779,26.552134,-81.89225,298343,63235
210,Florida,Leon,290965,152748,138217,171932,0.5249703572594642,0.5909026858900555,30.45931,-84.2778,117677,57359
211,Florida,Levy,42392,21655,20737,36089,0.510827514625401,0.8513162860917154,29.284409,-82.783483,17248,43029
212,Florida,Liberty,7987,3445,4542,6240,0.43132590459496684,0.7812695630399399,30.259849,-84.868581,2279,42438
213,Florida,Madison,18051,8240,9811,10242,0.45648440529610546,0.5673923882333388,30.447228,-83.470437,6441,39503
214,Florida,Manatee,394824,203076,191748,319008,0.5143456324843475,0.807975199076044,27.481386,-82.365784,156254,64964
215,Florida,Marion,370372,191829,178543,287545,0.5179360210815073,0.7763680839804304,29.202805,-82.0431,150880,50808
216,Florida,Martin,158323,79766,78557,134574,0.5038181439209717,0.8499965260890711,27.079954,-80.398211,66108,69769
217,Florida,Miami-Dade,2690113,1374001,1316112,1520002,0.5107595851921461,0.5650327699988811,25.610494,-80.499045,936351,57815
218,Florida,Monroe,82244,39262,42982,65748,0.47738436846456883,0.7994260979524342,25.601043,-81.206777,33643,73153
219,Florida,Nassau,88492,44510,43982,78277,0.5029833205261492,0.8845658364597929,30.605926,-81.764929,34691,77504
220,Florida,Okaloosa,209230,102476,106754,158485,0.4897768006500024,0.7574678583377145,30.665858,-86.594194,81785,67390
221,Florida,Okeechobee,39716,18287,21429,31392,0.4604441534897774,0.7904119246651223,27.385592,-80.887388,14794,47020
222,Florida,Orange,1409949,715303,694646,781989,0.50732544226777,0.5546221884621358,28.514435,-81.323295,475292,65784
223,Florida,Osceola,380331,191780,188551,219358,0.504244986603774,0.57675551033179,28.059027,-81.139312,110156,58513
